Номер кадра	Номер зоны	Ожидаемый класс	Фактический класс	Код причины	A_def, пикс.	A_max, пикс.	Delta_r, пикс.	K_circ	t_proc, мс	t_OPC, мс	Итог
# Протокол создан: 2026-05-17 01:00:11
# Папка изображений: C:/Users/L13 Yoga/Pictures/fotoLed1080
# Диапазон кадров: 618...764
# Примечание: поле 'Ожидаемый класс' заполняется как 'Не задан', пока нет файла ручной разметки.
#
0658	2	Не задан	Норма	нет	0	0	45.12	0.1928	152.81	0.0	годен
0658	3	Не задан	Норма	нет	0	0	32.02	0.3722	152.81	0.0	годен
0658	4	Не задан	Норма	нет	0	0	8.0	0.5081	152.81	0.0	годен
0659	1	Не задан	Норма	нет	0	0	14.04	0.2081	218.98	0.0	годен
0659	2	Не задан	Норма	нет	0	0	46.57	0.1746	218.98	0.0	годен
0659	3	Не задан	Норма	нет	0	0	31.3	0.487	218.98	0.0	годен
0659	4	Не задан	Норма	нет	0	0	8.6	0.483	218.98	0.0	годен
0660	1	Не задан	Норма	нет	0	0	13.6	0.1237	200.49	0.0	годен
0660	2	Не задан	Норма	нет	0	0	24.7	0.2413	200.49	0.0	годен
0660	3	Не задан	Норма	нет	0	0	29.41	0.4541	200.49	0.0	годен
0660	4	Не задан	Норма	нет	0	0	9.0	0.464	200.49	0.0	годен
0661	1	Не задан	Норма	нет	0	0	17.49	0.2146	173.99	0.0	годен
0661	2	Не задан	Норма	нет	0	0	30.46	0.18	173.99	0.0	годен
0661	3	Не задан	Норма	нет	0	0	31.4	0.3844	173.99	0.0	годен
0661	4	Не задан	Норма	нет	0	0	8.54	0.4295	173.99	0.0	годен
0662	1	Не задан	Норма	нет	0	0	12.17	0.1216	170.07	0.0	годен
0662	2	Не задан	Норма	нет	0	0	33.54	0.0992	170.07	0.0	годен
0662	3	Не задан	Норма	нет	0	0	29.73	0.3425	170.07	0.0	годен
0662	4	Не задан	Норма	нет	0	0	12.81	0.5609	170.07	0.0	годен
0663	1	Не задан	Норма	нет	0	0	20.4	0.1413	160.45	0.0	годен
0663	2	Не задан	Норма	нет	0	0	38.28	0.1515	160.45	0.0	годен
0663	3	Не задан	Норма	нет	0	0	29.83	0.4708	160.45	0.0	годен
0663	4	Не задан	Норма	нет	0	0	9.06	0.4811	160.45	0.0	годен
0664	1	Не задан	Норма	нет	0	0	14.04	0.1484	162.79	0.0	годен
0664	2	Не задан	Норма	нет	0	0	37.0	0.1591	162.79	0.0	годен
0664	3	Не задан	Норма	нет	0	0	30.41	0.3442	162.79	0.0	годен
0664	4	Не задан	Норма	нет	0	0	12.21	0.4855	162.79	0.0	годен
0665	1	Не задан	Норма	нет	0	0	20.25	0.1329	184.11	0.0	годен
0665	2	Не задан	Норма	нет	0	0	38.33	0.1787	184.11	0.0	годен
0665	3	Не задан	Норма	нет	0	0	33.42	0.2369	184.11	0.0	годен
0665	4	Не задан	Норма	нет	0	0	15.0	0.5205	184.11	0.0	годен
0666	1	Не задан	Норма	нет	0	0	19.72	0.1811	158.93	0.0	годен
0666	2	Не задан	Норма	нет	0	0	26.93	0.227	158.93	0.0	годен
0666	3	Не задан	Норма	нет	0	0	42.05	0.3706	158.93	0.0	годен
0666	4	Не задан	Норма	нет	0	0	13.45	0.4912	158.93	0.0	годен
0667	1	Не задан	Норма	нет	0	0	12.04	0.1333	158.0	0.0	годен
0667	2	Не задан	Норма	нет	0	0	14.87	0.188	158.0	0.0	годен
0667	3	Не задан	Норма	нет	0	0	28.32	0.378	158.0	0.0	годен
0667	4	Не задан	Норма	нет	0	0	16.76	0.3308	158.0	0.0	годен
0668	1	Не задан	Норма	нет	0	0	22.2	0.1431	165.45	0.0	годен
0668	2	Не задан	Норма	нет	0	0	19.21	0.075	165.45	0.0	годен
0668	3	Не задан	Норма	нет	0	0	42.72	0.306	165.45	0.0	годен
0668	4	Не задан	Норма	нет	0	0	17.2	0.4112	165.45	0.0	годен
0669	1	Не задан	Норма	нет	0	0	22.14	0.1429	147.21	0.0	годен
0669	2	Не задан	Норма	нет	0	0	29.41	0.1342	147.21	0.0	годен
0669	3	Не задан	Норма	нет	0	0	27.59	0.3276	147.21	0.0	годен
0669	4	Не задан	Норма	нет	0	0	12.73	0.4709	147.21	0.0	годен
0670	1	Не задан	Норма	нет	0	0	17.49	0.1556	167.57	0.0	годен
0670	2	Не задан	Норма	нет	0	0	31.62	0.1208	167.57	0.0	годен
0670	3	Не задан	Норма	нет	0	0	27.8	0.2758	167.57	0.0	годен
0670	4	Не задан	Норма	нет	0	0	16.12	0.5499	167.57	0.0	годен
0671	1	Не задан	Норма	нет	0	0	13.45	0.0896	170.34	0.0	годен
0671	2	Не задан	Норма	нет	0	0	32.56	0.2054	170.34	0.0	годен
0671	3	Не задан	Норма	нет	0	0	24.08	0.3565	170.34	0.0	годен
0671	4	Не задан	Норма	нет	0	0	18.03	0.4178	170.34	0.0	годен
0672	1	Не задан	Норма	нет	0	0	8.0	0.0893	191.24	0.0	годен
0672	2	Не задан	Норма	нет	0	0	2.24	0.1804	191.24	0.0	годен
0672	3	Не задан	Норма	нет	0	0	27.02	0.2137	191.24	0.0	годен
0672	4	Не задан	Норма	нет	0	0	11.31	0.479	191.24	0.0	годен
0673	1	Не задан	Норма	нет	0	0	7.07	0.0836	155.08	0.0	годен
0673	2	Не задан	Норма	нет	0	0	27.51	0.2064	155.08	0.0	годен
0673	3	Не задан	Норма	нет	0	0	25.61	0.3928	155.08	0.0	годен
0673	4	Не задан	Норма	нет	0	0	9.85	0.6358	155.08	0.0	годен
0674	1	Не задан	Норма	нет	0	0	7.28	0.091	155.96	0.0	годен
0674	2	Не задан	Норма	нет	0	0	19.1	0.1471	155.96	0.0	годен
0674	3	Не задан	Норма	нет	0	0	21.93	0.5013	155.96	0.0	годен
0674	4	Не задан	Норма	нет	0	0	10.3	0.5059	155.96	0.0	годен
0675	1	Не задан	Норма	нет	0	0	12.04	0.2355	158.44	0.0	годен
0675	2	Не задан	Норма	нет	0	0	33.96	0.1287	158.44	0.0	годен
0675	3	Не задан	Норма	нет	0	0	30.41	0.098	158.44	0.0	годен
0675	4	Не задан	Норма	нет	0	0	15.23	0.3236	158.44	0.0	годен
0676	1	Не задан	Норма	нет	0	0	16.76	0.0713	163.58	0.0	годен
0676	2	Не задан	Норма	нет	0	0	17.46	0.1752	163.58	0.0	годен
0676	3	Не задан	Норма	нет	0	0	26.25	0.4639	163.58	0.0	годен
0676	4	Не задан	Норма	нет	0	0	16.76	0.3265	163.58	0.0	годен
0677	1	Не задан	Норма	нет	0	0	8.06	0.0662	161.61	0.0	годен
0677	2	Не задан	Норма	нет	0	0	27.07	0.1745	161.61	0.0	годен
0677	3	Не задан	Норма	нет	0	0	31.3	0.1692	161.61	0.0	годен
0677	4	Не задан	Норма	нет	0	0	15.23	0.512	161.61	0.0	годен
0678	1	Не задан	Норма	нет	0	0	20.62	0.1473	254.66	0.0	годен
0678	2	Не задан	Норма	нет	0	0	30.81	0.1974	254.66	0.0	годен
0678	3	Не задан	Норма	нет	0	0	39.81	0.3167	254.66	0.0	годен
0678	4	Не задан	Норма	нет	0	0	12.04	0.5818	254.66	0.0	годен
0679	1	Не задан	Норма	нет	0	0	24.04	0.1181	181.06	0.0	годен
0679	2	Не задан	Норма	нет	0	0	27.46	0.2662	181.06	0.0	годен
0679	3	Не задан	Норма	нет	0	0	37.95	0.2823	181.06	0.0	годен
0679	4	Не задан	Норма	нет	0	0	10.0	0.3956	181.06	0.0	годен
0680	1	Не задан	Норма	нет	0	0	5.39	0.1191	165.96	0.0	годен
0680	2	Не задан	Норма	нет	0	0	24.21	0.0741	165.96	0.0	годен
0680	3	Не задан	Норма	нет	0	0	52.15	0.132	165.96	0.0	годен
0680	4	Не задан	Брак	пятно	133	84	10.82	0.382	165.96	0.0	отбраковать
0681	1	Не задан	Норма	нет	0	0	19.21	0.1699	163.32	0.0	годен
0681	2	Не задан	Норма	нет	0	0	25.08	0.1402	163.32	0.0	годен
0681	3	Не задан	Норма	нет	0	0	39.81	0.1954	163.32	0.0	годен
0681	4	Не задан	Норма	нет	0	0	10.0	0.3963	163.32	0.0	годен
0682	1	Не задан	Норма	нет	0	0	16.64	0.1828	158.44	0.0	годен
0682	2	Не задан	Норма	нет	0	0	24.35	0.0954	158.44	0.0	годен
0682	3	Не задан	Норма	нет	0	0	39.85	0.2138	158.44	0.0	годен
0682	4	Не задан	Норма	нет	0	0	14.76	0.3636	158.44	0.0	годен
0683	1	Не задан	Норма	нет	0	0	19.42	0.1749	212.78	0.0	годен
0683	2	Не задан	Норма	нет	0	0	10.44	0.1564	212.78	0.0	годен
0683	3	Не задан	Норма	нет	0	0	51.24	0.1547	212.78	0.0	годен
0683	4	Не задан	Норма	нет	0	0	11.4	0.4746	212.78	0.0	годен
0684	1	Не задан	Норма	нет	0	0	20.25	0.1709	185.27	0.0	годен
0684	2	Не задан	Норма	нет	0	0	28.3	0.1047	185.27	0.0	годен
0684	3	Не задан	Норма	нет	0	0	39.96	0.2726	185.27	0.0	годен
0684	4	Не задан	Норма	нет	0	0	8.6	0.3358	185.27	0.0	годен
0685	1	Не задан	Норма	нет	0	0	13.04	0.2005	178.44	0.0	годен
0685	2	Не задан	Норма	нет	0	0	23.71	0.1217	178.44	0.0	годен
0685	3	Не задан	Норма	нет	0	0	27.8	0.2103	178.44	0.0	годен
0685	4	Не задан	Норма	нет	0	0	5.1	0.4533	178.44	0.0	годен
0686	1	Не задан	Норма	нет	0	0	18.6	0.1313	169.05	0.0	годен
0686	2	Не задан	Норма	нет	0	0	25.24	0.0787	169.05	0.0	годен
0686	3	Не задан	Норма	нет	0	0	51.08	0.1827	169.05	0.0	годен
0686	4	Не задан	Норма	нет	0	0	7.0	0.3114	169.05	0.0	годен
0687	1	Не задан	Норма	нет	0	0	16.28	0.1059	178.16	0.0	годен
0687	2	Не задан	Норма	нет	0	0	28.16	0.1665	178.16	0.0	годен
0687	3	Не задан	Норма	нет	0	0	34.71	0.2534	178.16	0.0	годен
0687	4	Не задан	Норма	нет	0	0	14.14	0.3747	178.16	0.0	годен
0688	1	Не задан	Норма	нет	0	0	13.04	0.1702	159.74	0.0	годен
0688	2	Не задан	Норма	нет	0	0	22.83	0.0758	159.74	0.0	годен
0688	3	Не задан	Норма	нет	0	0	50.29	0.2324	159.74	0.0	годен
0688	4	Не задан	Норма	нет	0	0	16.55	0.2546	159.74	0.0	годен
0689	1	Не задан	Норма	нет	0	0	14.14	0.1448	155.02	0.0	годен
0689	2	Не задан	Норма	нет	0	0	35.13	0.1803	155.02	0.0	годен
0689	3	Не задан	Норма	нет	0	0	31.62	0.3194	155.02	0.0	годен
0689	4	Не задан	Норма	нет	0	0	9.49	0.272	155.02	0.0	годен
0690	1	Не задан	Норма	нет	0	0	6.4	0.0672	161.79	0.0	годен
0690	2	Не задан	Норма	нет	0	0	36.06	0.1663	161.79	0.0	годен
0690	3	Не задан	Норма	нет	0	0	53.76	0.1906	161.79	0.0	годен
0690	4	Не задан	Норма	нет	0	0	12.53	0.2639	161.79	0.0	годен
0691	1	Не задан	Норма	нет	0	0	18.36	0.1108	150.32	0.0	годен
0691	2	Не задан	Норма	нет	0	0	27.89	0.1902	150.32	0.0	годен
0691	3	Не задан	Норма	нет	0	0	30.0	0.2549	150.32	0.0	годен
0691	4	Не задан	Норма	нет	0	0	17.2	0.3483	150.32	0.0	годен
0691	1	Не задан	Норма	нет	0	0	17.72	0.1108	150.97	0.0	годен
0691	2	Не задан	Норма	нет	0	0	31.78	0.1902	150.97	0.0	годен
0691	3	Не задан	Норма	нет	0	0	15.81	0.2549	150.97	0.0	годен
0691	4	Не задан	Норма	нет	0	0	31.05	0.3483	150.97	0.0	годен
0691	1	Не задан	Норма	нет	0	0	17.46	0.1108	150.14	0.0	годен
0691	2	Не задан	Норма	нет	0	0	33.73	0.1902	150.14	0.0	годен
0691	3	Не задан	Норма	нет	0	0	12.65	0.2549	150.14	0.0	годен
0691	4	Не задан	Норма	нет	0	0	35.69	0.3483	150.14	0.0	годен
0692	1	Не задан	Норма	нет	0	0	25.02	0.1027	150.33	0.0	годен
0692	2	Не задан	Норма	нет	0	0	29.02	0.2289	150.33	0.0	годен
0692	3	Не задан	Норма	нет	0	0	14.32	0.3479	150.33	0.0	годен
0692	4	Не задан	Норма	нет	0	0	30.07	0.3711	150.33	0.0	годен
0693	1	Не задан	Норма	нет	0	0	9.43	0.058	157.06	0.0	годен
0693	2	Не задан	Норма	нет	0	0	30.02	0.2613	157.06	0.0	годен
0693	3	Не задан	Норма	нет	0	0	18.38	0.1642	157.06	0.0	годен
0693	4	Не задан	Норма	нет	0	0	24.74	0.4347	157.06	0.0	годен
0693	1	Не задан	Норма	нет	0	0	10.3	0.058	153.07	0.0	годен
0693	2	Не задан	Норма	нет	0	0	28.02	0.2613	153.07	0.0	годен
